Nr.,Ortsteil,Bezirk,Fläche(km²),Einwohner[2](31. Dezember 2019),Einwohnerpro km²
0101,Mitte,Mitte,"10,70",102.465,9576
0102,Moabit,Mitte,"7,72",80.495,10.427
0103,Hansaviertel,Mitte,"0,53",5.926,11.181
0104,Tiergarten,Mitte,"5,17",14.881,2878
0105,Wedding,Mitte,"9,23",86.806,9405
0106,Gesundbrunnen,Mitte,"6,13",95.175,15.526
0201,Friedrichshain,Friedrichshain-Kreuzberg,"9,78",136.035,13.910
0202,Kreuzberg,Friedrichshain-Kreuzberg,"10,40",154.351,14.841
0301,Prenzlauer Berg,Pankow,"11,00",165.003,15.000
0302,Weißensee,Pankow,"7,93",54.032,6814
0303,Blankenburg,Pankow,"6,03",6.875,1140
0304,Heinersdorf,Pankow,"3,95",7.869,1992
0305,Karow,Pankow,"6,65",19.679,2959
0306,Stadtrandsiedlung Malchow,Pankow,"5,68",1.120,"197,2"
0307,Pankow,Pankow,"5,66",64.945,11.474
0308,Blankenfelde,Pankow,"13,40",2.064,154
0309,Buch,Pankow,"18,20",16.868,"926,8"
0310,Französisch Buchholz,Pankow,"12,00",21.281,1773
0311,Niederschönhausen,Pankow,"6,49",31.996,4930
0312,Rosenthal,Pankow,"4,90",9.596,1958
0313,Wilhelmsruh,Pankow,"1,37",8.007,5845
0401,Charlottenburg,Charlottenburg-Wilmersdorf,"10,60",130.663,12.327
0402,Wilmersdorf,Charlottenburg-Wilmersdorf,"7,16",102.619,14.332
0403,Schmargendorf,Charlottenburg-Wilmersdorf,"3,59",22.205,6185
0404,Grunewald,Charlottenburg-Wilmersdorf,"22,30",10.999,"493,2"
0405,Westend,Charlottenburg-Wilmersdorf,"13,50",41.882,3102
0406,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,"6,20",19.597,3161
0407,Halensee,Charlottenburg-Wilmersdorf,"1,27",15.627,12.305
0501,Spandau,Spandau,"8,03",39.560,4927
0502,Haselhorst,Spandau,"4,73",15.663,3311
0503,Siemensstadt,Spandau,"5,66",12.831,2267
0504,Staaken,Spandau,"10,90",46.607,4276
0505,Gatow,Spandau,"10,10",3.733,"369,6"
0506,Kladow,Spandau,"14,80",16.212,1095
0507,Hakenfelde,Spandau,"20,40",31.296,1534
0508,Falkenhagener Feld,Spandau,"6,88",38.759,5634
0509,Wilhelmstadt,Spandau,"10,40",40.536,3898
0601,Steglitz,Steglitz-Zehlendorf,"6,79",75.803,11.164
0602,Lichterfelde,Steglitz-Zehlendorf,"18,20",86.206,4737
0603,Lankwitz,Steglitz-Zehlendorf,"6,99",43.566,6233
0604,Zehlendorf,Steglitz-Zehlendorf,"18,80",60.538,3220
0605,Dahlem,Steglitz-Zehlendorf,"8,39",16.929,2018
0606,Nikolassee,Steglitz-Zehlendorf,"19,60",16.695,"851,8"
0607,Wannsee,Steglitz-Zehlendorf,"23,70",10.334,436
