DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3100.0,0.1378,2.5729,33.1264,3.0503,7.9837,8.5243,70.41515505270442
3100.1,0.1368,2.5696,32.5644,3.0585,7.9401,8.5243,70.14771432651223
3100.2,0.1351,2.567,32.3169,3.0454,7.9126,8.5243,70.18955352529296
3100.3,0.1341,2.5668,32.9734,3.0365,7.9216,8.5243,69.16871283164613
3100.4,0.1349,2.569,33.0557,3.0844,7.9582,8.5243,70.34312210270191
3100.5,0.1369,2.5719,32.7959,3.1617,7.9889,8.5242,70.2429292543041
3100.6,0.1406,2.5737,32.995,3.1,7.9951,8.4755,69.91610133025067
3100.7,0.1414,2.5733,32.1285,3.1114,7.9805,8.4756,69.81801440275284
3100.8,0.1392,2.571,34.4729,3.0414,7.9586,8.4998,70.3503030385468
3100.9,0.14,2.5691,33.3984,3.0937,7.9508,8.4755,70.10686476096336
3101.0,0.1399,2.569,33.2506,3.1282,7.9534,8.4755,70.14732584025336
3101.1,0.1408,2.5705,33.168,3.0533,7.9825,8.4755,70.18400936453578
3101.2,0.142,2.5713,33.9833,3.075,8.0429,8.4755,70.0395282768601
3101.3,0.1429,2.5704,35.2027,3.0526,8.1042,8.4755,73.03038130117442
3101.4,0.1428,2.5687,36.0835,2.9632,8.1182,8.4755,73.69371011942836
3101.5,0.1417,2.5669,34.4845,2.9788,8.0688,8.4755,70.00142166743377
3101.6,0.1401,2.5663,33.4326,3.0932,8.0025,8.4756,70.10160723869738
3101.7,0.137,2.5676,34.3112,3.2057,7.9641,8.5243,70.28401552948783
3101.8,0.1357,2.5706,34.9248,3.2207,7.9652,8.5243,71.3605253077246
3101.9,0.1352,2.5748,34.8324,3.0816,7.991,8.5243,71.3448418433384
3102.0,0.1356,2.5781,34.7282,3.22,8.0145,8.5243,70.13605288194667
3102.1,0.1371,2.5796,35.6922,3.2733,8.0204,8.5243,71.5044608767614
3102.2,0.139,2.5797,35.7421,3.3485,8.0018,8.5242,71.27667131162393
3102.3,0.1421,2.5796,35.9918,3.3423,7.969,8.4756,73.067172360802
3102.4,0.1422,2.5795,37.4139,3.3179,7.9446,8.4998,72.33903975745882
3102.5,0.1416,2.5795,36.863,3.2303,7.9517,8.4755,73.77212258004153
3102.6,0.1413,2.5798,36.9879,3.1885,7.9899,8.4756,73.76895347314755
3102.7,0.1401,2.5805,37.5116,3.2067,8.0195,8.5243,72.41183801339416
3102.8,0.1402,2.5803,38.1982,3.3089,8.0031,8.5243,72.7292203802173
3102.9,0.1382,2.5786,36.8702,3.3799,7.9381,8.5243,71.49682983837349
3103.0,0.1345,2.5772,36.3099,3.4399,7.8717,8.5243,71.27058987883194
3103.1,0.131,2.5775,34.8789,3.4727,7.8559,8.5242,70.37564009857631
3103.2,0.1293,2.5788,35.5282,3.3874,7.8792,8.4998,70.56980669410076
